pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,st_mass,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1389 b,1.77,3.78,300.0,0.38249,5078.0,0.74,0.81,Kepler-1389 b,0,0.69876202,0,0,340.11529,Superterran
Kepler-1406 b,1.1,1.37,854.0,0.0987,5892.0,1.12,1.05,Kepler-1406 b,0,0.3021049,0,0,989.73048,Terran
Kepler-625 c,1.05,1.16,1048.0,0.05379,5789.0,0.96,1.04,Kepler-625 c,0,0.29411405,0,0,1612.4775,Terran
Kepler-217 d,1.32,2.3,1574.0,0.0534,6341.0,1.76,1.37,Kepler-217 d,0,0.28682781,0,0,1975.9677,Terran
Kepler-1573 b,1.2,1.87,1379.0,0.0364,5808.0,1.0,1.01,Kepler-1573 b,0,0.2912407,0,0,1661.9763,Terran
Kepler-1574 b,1.29,2.21,1003.0,0.0743,5892.0,1.08,1.06,Kepler-1574 b,0,0.29263274,0,0,1154.5988,Terran
Kepler-758 d,2.12,5.14,843.0,0.1527,6228.0,1.42,1.16,Kepler-758 d,0,0.2562883,0,0,1045.7822,Superterran
Kepler-1407 b,2.25,5.69,826.0,0.1502,6010.0,1.15,1.1,Kepler-1407 b,0,0.25813525,0,0,867.64198,Superterran
Kepler-653 c,0.78,0.399,2078.0,0.01855,5665.0,1.19,1.02,Kepler-653 c,0,0.28788196,0,0,2259.0147,Subterran
Kepler-1541 b,1.16,1.65,1048.0,0.07555,5282.0,0.81,0.86,Kepler-1541 b,0,0.30935911,0,0,848.39872,Terran
Kepler-1245 c,1.44,2.67,1190.0,0.0372,5306.0,0.83,0.86,Kepler-1245 c,0,0.28643207,0,0,1177.3458,Terran
Kepler-1050 c,1.48,2.79,935.0,0.15264,6010.0,1.13,1.09,Kepler-1050 c,0,0.31091646,0,0,739.00963,Terran
Kepler-534 b,2.24,5.65,721.0,0.1272,5884.0,0.98,1.05,Kepler-534 b,0,0.25791434,0,0,877.87355,Superterran
Kepler-1412 b,0.83,0.498,1397.0,0.04608,5880.0,1.27,1.06,Kepler-1412 b,0,0.29108657,0,0,1670.4176,Terran
Kepler-1413 b,1.82,3.97,661.0,0.1066,5196.0,0.8,0.84,Kepler-1413 b,0,0.30045745,0,0,703.55316,Superterran
Kepler-1542 b,0.76,0.363,1160.0,0.04765,5564.0,0.99,0.94,Kepler-1542 b,0,0.28908018,0,0,1368.5408,Subterran
Kepler-1414 b,1.23,2.04,1033.0,0.0426,4951.0,0.75,0.8,Kepler-1414 b,0,0.29653356,0,0,1067.1383,Terran
Kepler-1415 b,1.29,2.21,1846.0,0.01416,5267.0,0.84,0.89,Kepler-1415 b,0,0.28782206,0,0,2020.6648,Terran
Kepler-1254 d,1.31,2.27,794.0,0.0575,4985.0,0.75,0.78,Kepler-1254 d,0,0.30363689,0,0,863.16058,Terran
Kepler-245 e,1.75,1806.36,998.0,0.04053,5174.0,0.8,0.86,Kepler-245 e,0,0.27247765,0,0,1145.2374,Superterran
Kepler-1417 b,1.0,0.972,695.0,0.14062,5839.0,1.02,1.02,Kepler-1417 b,0,0.30446041,0,0,954.67534,Terran
Kepler-1418 b,1.66,3.39,419.0,0.131,4770.0,0.72,0.77,Kepler-1418 b,0,0.36190761,0,0,557.55777,Superterran
Kepler-1579 b,0.84,0.52,1139.0,0.014,4584.0,0.7,0.75,Kepler-1579 b,0,0.29262588,0,0,1415.3424,Terran
