pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-49 d,1.6,235.982,717.0,2.576549,0.0,0.031,64.39,4252.0,0.559,0.549,0.03,Kepler-49 d,0,0.29197264,0,0,852.10806,Terran
Kepler-829 b,2.11,5.1,857.0,6.88337562,0.0,0.0678,247.47,5698.0,0.97,0.98,0.03,Kepler-829 b,0,0.25476271,0,0,1130.6044,Superterran
Kepler-1679 b,2.0692036,4.93,813.0,9.75376,0.0,0.0892,103.3,5501.0,0.873196,0.96,-0.04,Kepler-1679 b,0,0.26787147,0,0,858.01147,Superterran
Kepler-915 b,1.5,2.86,1319.0,4.59489604,0.0,0.05655,844.751,6173.0,1.38,1.21,0.08,Kepler-915 b,0,0.2802739,0,0,1618.1445,Terran
Kepler-1121 b,1.91,4.31,1008.0,13.15141081,0.0,0.11818,205.272,6231.0,1.59,1.29,0.12,Kepler-1121 b,0,0.265463,0,0,1097.6153,Superterran
Kepler-544 b,2.12,5.14,748.0,21.41616926,0.0,0.15482,126.031,6206.0,1.22,1.16,0.02,Kepler-544 b,0,0.25813453,0,0,989.89651,Superterran
Kepler-292 c,1.47,2.76,1001.0,3.715335,0.0,0.045,242.416,5299.0,0.826,0.865,0.04,Kepler-292 c,0,0.28629043,0,0,1117.0414,Terran
Kepler-990 c,1.53,2.96,2386.0,0.538354308,0.0,0.01232,5272.4,5948.0,1.08,1.05,0.01,Kepler-990 c,0,0.27779477,0,0,2480.4111,Terran
Kepler-1311 c,1.22,1.98,1671.0,2.53573424,0.0,0.03753,2144.553,5748.0,1.4,1.05,0.09,Kepler-1311 c,0,0.29007212,0,0,1967.8936,Terran
Kepler-1996 b,2.26,5.73,392.0,32.376183,0.0,0.1789,5.61,4580.0,0.675,0.748,0.08,Kepler-1996 b,0,0.40572154,0,0,465.9833,Superterran
Kepler-378 c,0.7,0.271,414.0,28.906009,0.0,0.166,8.166,4661.0,0.671,0.78,0.1369,Kepler-378 c,0,0.43551913,0,0,484.30781,Subterran
Kepler-1856 b,1.73447868,3.66,1344.0,1.302000046,0.0,0.0215,772.73,4948.0,0.816,0.782,0.14,Kepler-1856 b,0,0.26920511,0,0,1621.6469,Superterran
Kepler-1618 b,1.26,2.13,1267.0,6.10826019,0.0,0.07109,903.908,6620.0,1.65,1.41,0.04,Kepler-1618 b,0,0.28965758,0,0,1610.7316,Terran
Kepler-171 b,2.34,6.08,1053.0,4.166972,0.0,0.05,304.178,5642.0,0.839,0.978,0.17,Kepler-171 b,0,0.24203031,0,0,1229.3924,Superterran
Kepler-316 c,1.16,1.65,577.0,6.827766,0.0,0.058,37.377,4204.0,0.52,0.587,-0.23,Kepler-316 c,0,0.33073767,0,0,696.96589,Terran
Kepler-1322 c,2.15492527,5.29,883.0,6.459980011,0.0,0.0652,144.06,5704.0,0.804,0.897,-0.3,Kepler-1322 c,0,0.25408089,0,0,1063.0452,Superterran
Kepler-1969 b,1.68161001,3.47,999.0,6.647520065,0.0,0.0717,235.89,6046.0,1.007,1.111,0.07,Kepler-1969 b,0,0.28099121,0,0,968.09047,Superterran
Kepler-1063 b,1.49,2.83,931.0,14.07971466,0.0,0.1176,54.93,5945.0,1.14,1.09,0.09,Kepler-1063 b,0,0.29229905,0,0,923.04284,Terran
Kepler-173 b,1.29,2.21,1179.0,4.263742,0.0,0.048,599.495,6031.0,0.949,1.067,0.0357,Kepler-173 b,0,0.28996656,0,0,1370.2661,Terran
Kepler-333 b,1.32,28.2,480.0,12.551158,0.0,0.087,16.819,4259.0,0.534,0.601,0.0465,Kepler-333 b,0,0.37051522,0,0,571.69698,Terran
KOI-3503 c,1.21,10.36,686.0,31.828,0.0,0.18688,52.5,6001.0,1.255,0.858,-0.5428,KOI-3503 c,0,0.31500891,0,0,782.15924,Terran
Kepler-1132 b,2.35,6.12,384.0,62.8916228,0.0,0.2881,4.547,5298.0,0.83,0.87,-0.01,Kepler-1132 b,0,0.44764116,0,0,431.17532,Superterran
