pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
Kepler-1194 b,1.51,2.89,676.0,16.22371307,0.0,0.1212,49.35,5590.0,0.92,0.94,0.0,Kepler-1194 b,0,0.30516993,0,0,768.1114,Terran
Kepler-1235 b,0.79,0.418,985.0,4.16055856,0.0,0.04836,265.325,5541.0,0.9,0.93,0.01,Kepler-1235 b,0,0.29287642,0,0,1186.8198,Subterran
TOI-1266 b,2.52,4.46,415.0,10.8945,0.039,0.073,4.72,3563.0,0.4232,0.437,-0.109,TOI-1266 b,0,0.45212485,0,0,426.84115,Superterran
TRAPPIST-1 c,1.097,1.308,339.7,2.421937,0.00654,0.0158,2.214,2566.0,0.1192,0.0898,0.052,TRAPPIST-1 c,0,0.73055616,0,0,351.03128,Terran
Kepler-102 d,1.154,3.0,686.0,10.311767,0.092,0.08618,36.9,4909.0,0.724,0.803,0.11,Kepler-102 d,0,0.33000703,0,0,699.82913,Terran
Kepler-1146 b,1.23,2.04,1019.0,2.352265797,0.0,0.0325,227.962,4692.0,0.7,0.74,-0.06,Kepler-1146 b,0,0.29562788,0,0,1102.7672,Terran
Kepler-106 d,0.95,8.1,649.0,23.9802,0.0,0.16063,45.357,5858.0,1.04,1.0,-0.12,Kepler-106 d,0,0.32211309,0,0,753.27149,Terran
Kepler-1512 b,1.18,1.76,322.0,20.35972599,0.0,0.13693,1.6,4372.0,0.67,0.73,0.2,Kepler-1512 b,0,0.81184745,0,0,327.39512,Terran
Kepler-1497 b,1.66,3.39,924.0,8.74199772,0.0,0.0817,172.38,5675.0,0.95,0.96,0.01,Kepler-1497 b,0,0.28220129,0,0,965.08262,Superterran
Kepler-23 d,2.206,4.44,896.0,15.27,0.01,0.12012,161.038,5828.0,1.548,1.078,-0.112,Kepler-23 d,0,0.25287101,0,0,1026.9296,Superterran
Kepler-619 c,1.69,3.5,1767.0,1.208465026,0.0,0.02216,1652.907,5980.0,1.11,1.09,0.05,Kepler-619 c,0,0.27076164,0,0,1874.2791,Superterran
Kepler-1860 b,1.13863767,1.55,697.0,12.73719978,0.0,0.10625,56.3,5420.0,0.868,0.874,0.0,Kepler-1860 b,0,0.31337066,0,0,811.26483,Terran
Kepler-187 b,1.41,2.57,1244.0,4.938864,0.0,0.059,902.239,6105.0,1.287,1.081,-0.04,Kepler-187 b,0,0.2842914,0,0,1573.0753,Terran
Kepler-1342 b,1.66,3.39,1283.0,2.215710358,0.0,0.0313,559.275,5527.0,0.9,0.93,0.03,Kepler-1342 b,0,0.27390024,0,0,1399.2759,Superterran
Kepler-1064 b,1.55,3.02,570.0,16.54080322,0.0,0.1183,24.87,5153.0,0.79,0.85,0.0,Kepler-1064 b,0,0.32360787,0,0,664.02304,Terran
Kepler-1588 b,0.76,0.363,925.0,7.84931739,0.0,0.07419,359.79,5817.0,0.99,0.96,-0.14,Kepler-1588 b,0,0.2898751,0,0,1283.6813,Subterran
Kepler-309 b,1.56,3.05,531.0,5.923653,0.0,0.059,99.493,4713.0,0.721,0.816,0.27,Kepler-309 b,0,0.2939628,0,0,851.13709,Terran
Kepler-908 b,1.22,1.98,1783.0,1.340597468,0.0,0.02526,3304.101,5973.0,1.12,1.11,0.15,Kepler-908 b,0,0.28989695,0,0,2130.9686,Terran
Kepler-333 c,1.11,1.41,386.0,24.08821,0.0,0.135,7.049,4259.0,0.534,0.601,0.0465,Kepler-333 c,0,0.48074054,0,0,458.94288,Terran
Kepler-394 d,1.50066814,2.86,1165.0,5.613580227,0.0,0.05904,302.0,6398.0,1.101,1.141,-0.14,Kepler-394 d,0,0.28394775,0,0,1166.9688,Terran
Kepler-1107 b,1.34,2.36,1897.0,0.571038518,0.0,0.01285,2387.261,5268.0,0.82,0.86,0.01,Kepler-1107 b,0,0.2860482,0,0,2015.9987,Terran
Kepler-1917 b,1.88971288,4.23,675.0,12.90240002,0.0,0.103,48.99,5530.0,0.788,0.882,-0.22,Kepler-1917 b,0,0.28783599,0,0,755.97409,Superterran
Kepler-255 d,1.32,2.3,1710.0,1.045622658,0.0,0.0192,1686.09,5431.0,0.86,0.9,0.02,Kepler-255 d,0,0.28698522,0,0,1868.6368,Terran
Kepler-186 c,1.25,2.1,464.0,7.267302,0.0,0.0451,13.98,3788.0,0.472,0.478,-0.28,Kepler-186 c,0,0.35461194,0,0,610.36167,Terran
Kepler-1312 c,1.02732734,1.07,1659.0,1.116119981,0.0,0.02103,1770.2,5721.0,0.905,0.983,0.02,Kepler-1312 c,0,0.29360591,0,0,1879.7599,Terran
KOI-351 b,1.31,2.27,1062.0,7.008151,0.0,0.074,316.442,6080.0,1.2,1.2,-0.12,KOI-351 b,0,0.29067345,0,0,1234.6949,Terran
Kepler-185 c,2.02,4.74,530.0,20.729042,0.0,0.139,16.029,5208.0,0.806,0.763,-0.14,Kepler-185 c,0,0.3309561,0,0,577.32202,Superterran
Kepler-1431 b,1.47,2.76,1064.0,5.86601526,0.0,0.0648,469.819,5806.0,1.03,1.03,0.07,Kepler-1431 b,0,0.28353123,0,0,1299.8344,Terran
Kepler-107 c,1.597,10.0,1378.0,4.901452,0.08,0.06064,602.0,5854.0,1.447,1.238,0.321,Kepler-107 c,0,0.27663158,0,0,1440.0312,Terran
Kepler-1200 b,1.06,1.2,1174.0,1.118549717,0.0,0.0188,544.534,4612.0,0.7,0.74,0.04,Kepler-1200 b,0,0.29503059,0,0,1411.2261,Terran
HD 219134 b,1.602,4.74,1015.0,3.092926,0.0,0.03876,176.2,4699.0,0.778,0.81,0.11,HD 219134 b,0,0.28198425,0,0,1048.2953,Superterran
Kepler-381 b,0.99,0.937,1576.0,5.629021,0.0,0.066,716.085,6152.0,1.568,1.144,-0.2016,Kepler-381 b,0,0.29476803,0,0,1505.4057,Terran
Kepler-834 b,2.02,4.74,378.0,13.32388301,0.0,0.0862,11.845,4554.0,0.66,0.7,-0.13,Kepler-834 b,0,0.30656741,0,0,638.1487,Superterran
Kepler-1283 b,1.91,4.31,764.0,12.9460978,0.0,0.1062,80.34,6175.0,1.25,1.16,0.04,Kepler-1283 b,0,0.2609237,0,0,1505.266,Superterran
Kepler-888 b,1.76,3.75,417.0,70.6979061,0.0,0.31481,7.854,5875.0,0.9,0.97,-0.21,Kepler-888 b,0,0.40998639,0,0,490.04798,Superterran
Kepler-717 b,2.42,6.44,1139.0,4.40840023,0.0,0.052,398.0,5485.0,0.85,0.88,-0.12,Kepler-717 b,0,0.23524299,0,0,1786.1744,Superterran
Kepler-371 c,1.78,3.82,443.0,67.968015,0.0,0.313,17.063,5666.0,0.992,0.876,-0.1975,Kepler-371 c,0,0.33731442,0,0,591.77056,Superterran
Kepler-311 d,2.05,4.86,327.0,232.040326,0.0,0.7326,2.71,5903.0,1.156,0.974,-0.1,Kepler-311 d,0,0.57774218,0,0,375.61425,Superterran
Kepler-772 b,1.82,3.97,866.0,12.99207337,0.0,0.11153,264.576,5714.0,1.11,0.98,0.03,Kepler-772 b,0,0.26880177,0,0,1155.5288,Superterran
Kepler-342 c,1.96,4.5,754.0,26.234138,0.0,0.185,77.29,6175.0,1.472,1.213,-0.0006,Kepler-342 c,0,0.27264538,0,0,868.13978,Superterran
HD 23472 b,2.0,8.32,543.0,17.667087,0.072,0.1162,16.0,4684.0,0.71,0.67,-0.2,HD 23472 b,0,0.32631442,0,0,588.75086,Superterran
Kepler-1311 b,1.24,2.07,1019.0,11.1726994,0.0,0.10082,296.92,5748.0,1.4,1.05,0.09,Kepler-1311 b,0,0.29346979,0,0,1200.4038,Terran
Kepler-292 b,1.32,2.3,1130.0,2.580827,0.0,0.035,394.301,5299.0,0.826,0.865,0.04,Kepler-292 b,0,0.28991721,0,0,1266.6059,Terran
HR 858 b,2.004,3.55,1552.0,3.585287,0.0,0.04888,989.7,6354.0,1.258,1.204,0.025,HR 858 b,0,0.25168207,0,0,1616.4085,Superterran
Kepler-1009 b,2.17,5.35,403.0,11.35011917,0.0,0.0796,11.561,4027.0,0.57,0.59,-0.12,Kepler-1009 b,0,0.32253236,0,0,577.72211,Superterran
Kepler-1293 b,0.97,0.871,1183.0,5.57654784,0.0,0.06763,929.122,6241.0,1.28,1.18,0.0,Kepler-1293 b,0,0.29433799,0,0,1586.6561,Terran
Kepler-780 b,0.89,0.64,2099.0,0.677375164,0.0,0.015,4572.56,5769.0,1.02,1.01,0.05,Kepler-780 b,0,0.29200203,0,0,2372.0831,Terran
Kepler-960 b,2.29,5.86,1391.0,3.12686223,0.0,0.03807,129.223,4755.0,0.72,0.77,0.02,Kepler-960 b,0,0.25000568,0,0,984.40849,Superterran
Kepler-295 c,1.17,1.71,621.0,21.526258,0.0,0.142,141.4,5603.0,0.898,0.89,-0.03,Kepler-295 c,0,0.29737478,0,0,1096.5573,Terran
Kepler-1310 b,1.44,2.67,1883.0,0.679336272,0.0,0.01452,2830.91,5549.0,0.88,0.91,-0.07,Kepler-1310 b,0,0.28196248,0,0,2117.3598,Terran
Kepler-1154 b,2.34,6.08,1314.0,5.1856142,0.0,0.0631,652.966,6327.0,1.43,1.26,0.04,Kepler-1154 b,0,0.23995056,0,0,1485.6306,Superterran
Kepler-1871 b,2.42172881,6.44,1403.0,1.952700019,0.0,0.0308,917.15,5741.0,0.946,1.02,0.12,Kepler-1871 b,0,0.23550099,0,0,1642.1021,Superterran
Kepler-142 b,1.99,4.62,1597.0,2.024152,0.0,0.032,1247.908,5790.0,1.269,0.978,0.05,Kepler-142 b,0,0.25621469,0,0,1710.4112,Superterran
Kepler-794 b,2.11,5.1,952.0,11.13125132,0.0,0.10036,299.97,5839.0,1.38,1.19,0.34,Kepler-794 b,0,0.2536468,0,0,1196.0398,Superterran
Kepler-1655 b,2.213,5.4,938.0,11.8728787,0.19,0.1029,129.1,6148.0,1.03,1.03,-0.24,Kepler-1655 b,0,0.25399254,0,0,971.57964,Superterran
Kepler-33 c,3.2,0.39,1009.0,13.17562,0.0,0.1189,241.759,5904.0,1.82,1.291,0.025,Kepler-33 c,0,0.20665889,0,0,1149.0385,Subterran
Kepler-355 b,1.46,2.73,840.0,11.03189,0.0,0.102,154.803,6184.0,1.066,0.933,-0.06,Kepler-355 b,0,0.28980522,0,0,1007.8025,Terran
Kepler-1693 c,0.97698289,0.894,1059.0,5.363709927,0.0,0.0588,296.73,5553.0,1.098,0.941,0.16,Kepler-1693 c,0,0.30087632,0,0,1046.4943,Terran
Kepler-1968 b,1.50004034,2.86,744.0,7.281099796,0.0,0.0696,72.16,5008.0,0.788,0.844,0.18,Kepler-1968 b,0,0.30823588,0,0,750.103,Terran
Kepler-1331 b,1.05,1.16,1244.0,0.789161653,0.0,0.0142,547.294,4508.0,0.69,0.72,0.05,Kepler-1331 b,0,0.29499103,0,0,1430.6432,Terran
Kepler-844 b,1.68,3.46,713.0,2.613020856,0.0,0.0298,89.652,4128.0,0.57,0.59,-0.24,Kepler-844 b,0,0.28055593,0,0,980.77049,Superterran
Kepler-1427 b,1.1,1.37,1844.0,0.968972376,0.0,0.0197,2730.51,5793.0,1.01,1.01,0.06,Kepler-1427 b,0,0.29262017,0,0,2068.6757,Terran
Kepler-1596 b,1.9,4.27,471.0,66.373379,0.0,0.3237,33.378,5706.0,0.92,0.95,-0.11,Kepler-1596 b,0,0.30994494,0,0,648.04352,Superterran
Kepler-1483 b,1.52,2.92,1131.0,9.5085156,0.0,0.0958,265.018,6337.0,1.4,1.25,0.04,Kepler-1483 b,0,0.28310702,0,0,1166.1187,Terran
Kepler-1357 b,1.28,2.18,1177.0,3.0091324,0.0,0.041,449.975,5597.0,0.9,0.93,-0.06,Kepler-1357 b,0,0.2908756,0,0,1306.2719,Terran
Kepler-208 b,1.63,3.29,1379.0,4.22864,0.0,0.054,639.576,6092.0,1.314,1.082,-0.0423,Kepler-208 b,0,0.27485465,0,0,1479.0356,Superterran
Kepler-1468 b,1.73,3.64,1093.0,8.23984869,0.0,0.0817,481.352,5893.0,1.05,1.04,0.03,Kepler-1468 b,0,0.27072925,0,0,1366.358,Superterran
Kepler-653 c,0.78,0.399,2078.0,0.900376476,0.0,0.01855,3743.275,5665.0,1.19,1.02,0.23,Kepler-653 c,0,0.28788196,0,0,2259.0147,Subterran
HD 80653 b,1.613,5.72,2463.0,0.719573,0.0,0.01661,6130.0,5959.0,1.22,1.18,0.255,HD 80653 b,0,0.27391442,0,0,2562.9534,Superterran
Kepler-1553 b,1.15,1.6,926.0,4.24261881,0.0,0.0481,166.106,5288.0,0.81,0.85,-0.09,Kepler-1553 b,0,0.29824665,0,0,1079.824,Terran
Kepler-846 b,2.48,6.71,624.0,19.80792185,0.0,0.1399,35.276,5579.0,0.91,0.94,0.0,Kepler-846 b,0,0.27206583,0,0,678.83881,Superterran
Kepler-1336 c,1.71,3.57,1260.0,5.77721211,0.0,0.06272,662.713,5512.0,1.3,0.94,0.05,Kepler-1336 c,0,0.27109083,0,0,1459.3546,Superterran
TOI-1266 c,1.98,3.17,346.0,18.8027,0.071,0.105,2.42,3563.0,0.4232,0.437,-0.109,TOI-1266 c,0,0.6755864,0,0,356.15516,Terran
Kepler-307 c,2.2,3.64,739.0,13.0729,0.0,0.10896,44.0,5367.0,0.814,0.907,0.19,Kepler-307 c,0,0.26447744,0,0,820.61584,Superterran
K2-126 b,1.97,4.54,601.0,7.385655,0.06,0.0656,35.3,4339.0,0.65,0.69,0.02,K2-126 b,0,0.29823506,0,0,677.44773,Superterran
Kepler-123 c,1.48,2.79,706.0,26.695074,0.0,0.181,77.399,6089.0,1.264,1.079,-0.08,Kepler-123 c,0,0.29723615,0,0,856.22171,Terran
Kepler-1814 c,1.76,3.75,1711.0,0.626281766,0.0,0.0133,2011.27,4922.0,0.823,0.79,0.2,Kepler-1814 c,0,0.26734786,0,0,1864.2309,Superterran
Kepler-147 b,1.53,2.96,953.0,12.610584,0.0,0.113,224.61,6012.0,1.468,1.145,0.1,Kepler-147 b,0,0.28412375,0,0,1094.2997,Terran
Kepler-342 b,2.25,5.69,905.0,15.170318,0.0,0.128,160.261,6175.0,1.472,1.213,-0.0006,Kepler-342 b,0,0.24996656,0,0,1043.6876,Superterran
Kepler-1602 b,1.34,2.36,1159.0,11.17931605,0.0,0.09744,124.507,6296.0,1.36,1.22,0.02,Kepler-1602 b,0,0.29555545,0,0,985.53801,Terran
Kepler-1598 b,0.95,0.809,1236.0,4.34195123,0.0,0.05207,308.46,5940.0,1.09,1.07,0.04,Kepler-1598 b,0,0.2969431,0,0,1225.3784,Terran
Kepler-286 c,1.37,2.45,1098.0,3.468095,0.0,0.042,353.0,5580.0,0.863,0.83,-0.25,Kepler-286 c,0,0.28753989,0,0,1313.1093,Terran
Kepler-1921 c,1.41,2.57,1791.0,3.15722086,0.0,0.0454,2436.47,6120.0,2.0,1.251,0.02,Kepler-1921 c,0,0.2831826,0,0,2147.3241,Terran
Kepler-250 c,2.28,5.82,782.0,7.156804,0.0,0.069,71.499,5160.0,0.805,0.806,0.01,Kepler-250 c,0,0.25864901,0,0,841.88152,Superterran
Kepler-1838 b,1.66049425,3.4,1097.0,12.14680004,0.0,0.11082,271.6,5877.0,1.963,1.187,0.04,Kepler-1838 b,0,0.27622274,0,0,1183.7779,Superterran
Kepler-1652 b,1.6,3.19,268.0,38.09722,0.0,0.1654,0.81,3638.0,0.382,0.404,-0.3,Kepler-1652 b,1,0.82580569,1,1,275.52294,Terran
Kepler-1983 b,2.33,6.04,807.0,7.32851947,0.0,0.0689,100.13,5135.0,0.874,0.812,0.12,Kepler-1983 b,0,0.25714767,0,0,830.93281,Superterran
Kepler-399 c,1.43,2.63,630.0,26.67569,0.0,0.155,15.69,5502.0,0.68,0.902,0.14,Kepler-399 c,0,0.36415241,0,0,574.45984,Terran
Kepler-918 b,1.74,3.68,1052.0,4.85386933,0.0,0.0569,258.702,6028.0,1.14,1.11,0.06,Kepler-918 b,0,0.27214989,0,0,1193.6291,Superterran
Kepler-1834 b,1.4593834,2.73,848.0,4.603010178,0.0,0.04911,105.2,4821.0,0.788,0.765,0.16,Kepler-1834 b,0,0.29347058,0,0,926.69044,Terran
Kepler-323 b,1.381,3.9,1838.0,1.678328,0.095,0.02778,1900.0,6004.0,1.12,1.015,-0.14,Kepler-323 b,0,0.2846549,0,0,1881.7583,Terran
TOI-1470 b,2.18,7.32,734.0,2.527093,0.3,0.0285,46.3,3709.0,0.469,0.471,0.0,TOI-1470 b,0,0.27249568,0,0,746.01801,Superterran
Kepler-49 e,1.56,1.03815,371.0,18.596108,0.0,0.116,6.063,4252.0,0.559,0.549,0.03,Kepler-49 e,0,0.48672125,0,0,440.50062,Terran
Kepler-1415 b,1.29,2.21,1846.0,0.63642408,0.0,0.01416,2138.079,5267.0,0.84,0.89,0.12,Kepler-1415 b,0,0.28782206,0,0,2020.6648,Terran
Kepler-126 d,2.5,54.59018723,475.0,100.283134,0.02,0.448,14.714,6239.0,1.358,1.108,-0.16,Kepler-126 d,0,0.31572306,0,0,557.53952,Superterran
Kepler-770 b,2.3,5.9,1171.0,18.92540274,0.0,0.1694,27.736,5598.0,0.92,0.94,-0.01,Kepler-770 b,0,0.27241083,0,0,721.05571,Superterran
Kepler-1499 b,1.19,1.81,409.0,44.2008,0.0,0.23225,7.371,5097.0,0.78,0.82,-0.01,Kepler-1499 b,0,0.46344906,0,0,470.01244,Terran
Kepler-106 b,0.82,5.3,1021.0,6.16486,0.0,0.06491,277.216,5858.0,1.04,1.0,-0.12,Kepler-106 b,0,0.29432101,0,0,1184.6589,Terran
Kepler-1465 b,1.77,3.78,668.0,31.8277111,0.0,0.1939,6.246,4726.0,0.71,0.75,-0.06,Kepler-1465 b,0,0.46000402,0,0,448.88657,Superterran
Kepler-1701 b,2.22186207,5.57,273.0,169.134,0.0,0.5738,1.3,5146.0,0.840217,0.87,0.03,Kepler-1701 b,2,0.70536871,0,1,313.88569,Superterran
Kepler-166 b,2.27,5.77,772.0,7.650254,0.0,0.072,77.543,5413.0,0.742,0.811,-0.08,Kepler-166 b,0,0.2577862,0,0,859.03186,Superterran
Kepler-84 b,2.23,40.0,985.0,8.726,0.0,0.0827,222.19,6039.0,1.43,1.0,-0.07,Kepler-84 b,0,0.24888028,0,0,1130.2454,Superterran
Kepler-868 b,2.05,4.86,1047.0,5.03251791,0.0,0.0575,417.034,5614.0,0.89,0.93,-0.08,Kepler-868 b,0,0.25593283,0,0,1247.6466,Superterran
Kepler-240 b,1.37,2.45,864.0,4.144495,0.0,0.048,142.736,4985.0,0.739,0.868,0.41,Kepler-240 b,0,0.29500273,0,0,971.19157,Terran
Kepler-1430 b,1.18,1.76,969.0,2.46050993,0.0,0.0304,208.54,4796.0,0.72,0.77,-0.03,Kepler-1430 b,0,0.29896212,0,0,1031.5463,Terran
Kepler-1612 b,1.03,1.08,1030.0,3.91795101,0.0,0.0482,269.248,5643.0,0.94,0.96,0.03,Kepler-1612 b,0,0.29786273,0,0,1175.9856,Terran
Kepler-537 b,1.41,2.57,1181.0,3.247555219,0.0,0.04317,442.522,5763.0,0.99,1.07,0.23,Kepler-537 b,0,0.28570666,0,0,1338.0255,Terran
Kepler-164 b,1.41,2.57,1141.0,5.03503,0.0,0.058,370.922,5888.0,1.148,1.036,0.0,Kepler-164 b,0,0.2863395,0,0,1274.8572,Terran
Kepler-633 b,1.63,3.29,1021.0,8.50340718,0.0,0.08185,454.5,5899.0,1.15,1.02,-0.05,Kepler-633 b,0,0.27917836,0,0,1104.9604,Superterran
Kepler-508 b,1.64,3.33,710.0,25.30889748,0.0,0.17274,60.372,6025.0,1.25,1.16,0.18,Kepler-508 b,0,0.29400624,0,0,809.18787,Superterran
TOI-1062 c,3.1,9.78,859.0,7.972,0.14,0.08,95.0,5328.0,0.84,0.94,0.14,TOI-1062 c,0,0.22031359,0,0,867.6523,Superterran
Kepler-1253 b,1.33,2.33,501.0,68.8861915,0.0,0.31444,21.624,5850.0,1.1,0.97,-0.14,Kepler-1253 b,0,0.34524921,0,0,626.89575,Terran
Kepler-238 f,2.0,13.5,568.0,50.447,0.0,0.28635,35.869,5800.0,0.96,1.06,0.34,Kepler-238 f,0,0.29112765,0,0,703.06615,Superterran
Kepler-176 e,1.45,0.52075,398.0,51.16579,0.0,0.25654,6.22,5295.0,0.83,0.87,0.03,Kepler-176 e,0,0.46938016,0,0,456.53838,Terran
Kepler-1284 b,1.21,1.92,1703.0,0.664073806,0.0,0.0143,2190.082,5123.0,0.79,0.84,0.03,Kepler-1284 b,0,0.29042258,0,0,1916.4942,Terran
TOI-500 b,1.166,1.42,1617.0,0.548177,0.063,0.01189,1138.0,4440.0,0.678,0.74,0.12,TOI-500 b,0,0.29181607,0,0,1762.8962,Terran
Kepler-256 b,1.59,3.15,1681.0,1.620493,0.0,0.027,1225.934,5551.0,1.301,1.037,0.26,Kepler-256 b,0,0.27592897,0,0,1692.3635,Terran
Kepler-1601 b,0.82,0.477,1507.0,2.20921951,0.0,0.03281,999.752,5869.0,1.07,1.04,0.05,Kepler-1601 b,0,0.29074858,0,0,1648.1847,Terran
Kepler-100 b,1.34,4.01,1155.0,6.88734,0.13,0.07309,478.214,5837.0,1.51,1.13,0.1,Kepler-100 b,0,0.28907074,0,0,1346.995,Terran
Kepler-1275 b,1.48,2.79,1368.0,3.65691115,0.0,0.0488,822.484,6296.0,1.36,1.23,0.04,Kepler-1275 b,0,0.28136955,0,0,1561.2254,Terran
Kepler-261 c,2.0,4.66,505.0,24.570858,0.0,0.156,14.512,5098.0,0.794,0.834,0.1621,Kepler-261 c,0,0.34405028,0,0,555.4094,Superterran
Kepler-376 c,1.79,3.86,873.0,14.172327,0.0,0.115,168.29,5900.0,1.175,0.968,-0.1038,Kepler-376 c,0,0.27295377,0,0,1041.9014,Superterran
Kepler-831 b,1.27,2.15,992.0,5.62153941,0.0,0.05984,266.249,5732.0,0.97,0.99,0.02,Kepler-831 b,0,0.29285825,0,0,1179.6872,Terran
Kepler-974 b,1.57,3.09,577.0,4.194496514,0.0,0.0419,28.511,3687.0,0.5,0.52,0.07,Kepler-974 b,0,0.3282859,0,0,644.64187,Terran
Kepler-1630 b,2.19,5.43,182.0,509.997402,0.0,1.1218,0.26,4736.0,0.63,0.66,-0.46,Kepler-1630 b,0,0.44188749,0,0,187.26982,Superterran
Kepler-1646 b,1.23,2.04,365.0,4.48558383,0.0,0.0295,4.2,3299.0,0.26,0.24,0.04,Kepler-1646 b,0,0.35919284,0,0,601.19383,Terran
Kepler-842 b,1.6,3.19,1252.0,1.21956827,0.0,0.0204,588.95,4848.0,0.73,0.78,-0.02,Kepler-842 b,0,0.27665194,0,0,1416.1538,Terran
Kepler-1487 b,2.13,5.18,1682.0,7.31946363,0.0,0.0898,323.294,6541.0,1.63,1.38,0.04,Kepler-1487 b,0,0.2511905,0,0,1322.9315,Superterran
Kepler-931 b,1.33,2.33,744.0,8.03755877,0.0,0.0719,72.44,5241.0,0.81,0.86,-0.01,Kepler-931 b,0,0.30185273,0,0,877.12416,Terran
Kepler-1218 b,1.44,2.67,684.0,22.9221266,0.0,0.15698,84.83,5986.0,1.1,1.06,-0.02,Kepler-1218 b,0,0.29608694,0,0,896.51415,Terran
Kepler-1336 b,1.98,4.58,793.0,23.198681,0.0,0.15845,103.72,5512.0,1.3,0.94,0.05,Kepler-1336 b,0,0.26846631,0,0,917.89959,Superterran
Kepler-1365 c,0.8,0.437,1137.0,4.77468005,0.0,0.05701,864.037,5770.0,1.05,1.0,0.03,Kepler-1365 c,0,0.29010907,0,0,1573.9005,Subterran
Kepler-395 c,1.32,2.3,341.0,34.989262,0.0,0.177,2.11,4262.0,0.556,0.622827,-0.02,Kepler-395 c,0,0.73889128,0,0,343.90532,Terran
Kepler-1965 b,1.35415138,2.4,492.0,41.86869812,0.0,0.22971,13.8,5852.0,0.837,0.928,-0.3,Kepler-1965 b,0,0.36779088,0,0,574.07312,Terran
Kepler-303 c,1.14,1.55,521.0,7.061149,0.0,0.057,25.851,3944.0,0.485,0.575,-0.4136,Kepler-303 c,0,0.34280281,0,0,652.36116,Terran
Kepler-286 e,1.77,3.78,539.0,29.221289,0.0,0.176,20.6,5580.0,0.863,0.83,-0.25,Kepler-286 e,0,0.31890742,0,0,641.45942,Superterran
Kepler-1373 b,1.16,1.65,1887.0,1.29123275,0.0,0.02598,8385.9,6299.0,1.33,1.22,0.03,Kepler-1373 b,0,0.29109492,0,0,2887.4724,Terran
Kepler-388 c,0.86,0.566,515.0,13.297004,0.0,0.093,16.64,4498.0,0.586,0.635,0.0,Kepler-388 c,0,0.32362663,0,0,732.71325,Terran
Kepler-83 c,2.36,2.03,362.0,20.09,0.0,0.11796,5.9,4082.0,0.61,0.66,-0.2,Kepler-83 c,0,0.42780228,0,0,444.17912,Superterran
Kepler-1406 b,1.1,1.37,854.0,11.62905828,0.0,0.0987,125.89,5892.0,1.12,1.05,0.04,Kepler-1406 b,0,0.3021049,0,0,989.73048,Terran
Kepler-1242 b,2.26,5.73,639.0,13.62798432,0.0,0.1039,28.998,4895.0,0.74,0.77,-0.05,Kepler-1242 b,0,0.28682505,0,0,663.15912,Superterran
Kepler-1441 b,1.31,2.27,682.0,39.4419839,0.0,0.2346,33.046,5802.0,1.0,1.0,0.01,Kepler-1441 b,0,0.32211136,0,0,716.1624,Terran
Kepler-84 f,2.2,5.48,572.0,44.552169,0.0,0.25,25.3,6031.0,1.169,1.06,-0.07,Kepler-84 f,0,0.29349022,0,0,650.0631,Superterran
Kepler-935 b,1.35,2.39,879.0,4.88083852,0.0,0.0527,94.607,4830.0,0.73,0.78,-0.01,Kepler-935 b,0,0.301806,0,0,867.50146,Terran
K2-85 b,1.4,3.2,1355.0,0.68453862616,0.24,0.013,800.0,4232.0,0.71,0.7,0.14,K2-85 b,0,0.29147447,0,0,1575.3093,Terran
Kepler-80 f,1.21,4459.73,1054.0,0.9867873,0.186,0.0175,750.964,4540.0,0.678,0.73,0.04,Kepler-80 f,0,0.29224232,0,0,1396.0678,Terran
Kepler-226 d,1.22,1.98,800.0,8.109044,0.0,0.076,103.645,5571.0,0.802,0.904,0.09,Kepler-226 d,0,0.30338202,0,0,909.42884,Terran
Kepler-1055 b,1.23,2.04,1304.0,2.295036233,0.0,0.0335,647.256,5723.0,0.94,0.98,-0.02,Kepler-1055 b,0,0.2913059,0,0,1452.1502,Terran
Kepler-406 b,1.43,6.35,1302.0,2.42629,0.0,0.03599,826.933,5538.0,1.07,1.07,0.18,Kepler-406 b,0,0.28351944,0,0,1559.3053,Terran
Kepler-1300 b,1.37,2.45,954.0,22.2419092,0.0,0.16005,149.409,6130.0,1.79,1.29,0.05,Kepler-1300 b,0,0.29311973,0,0,1019.827,Terran
Kepler-1506 b,1.32,2.3,783.0,14.0329154,0.0,0.1168,235.807,5676.0,0.93,0.95,-0.05,Kepler-1506 b,0,0.29332794,0,0,1075.732,Terran
Kepler-33 b,1.74,3.68,1336.0,5.66793,0.0,0.0677,744.011,5904.0,1.82,1.291,0.025,Kepler-33 b,0,0.26929614,0,0,1522.759,Superterran
Kepler-1794 b,1.79426276,3.87,703.0,9.762980461,0.0,0.0821,57.59,5052.0,0.816,0.773,0.02,Kepler-1794 b,0,0.30125562,0,0,706.32397,Superterran
TOI-411 c,2.328,9.72,931.0,9.573083,0.16,0.1017,156.75,6169.0,1.117,1.098,-0.08,TOI-411 c,0,0.24690364,0,0,1015.8168,Superterran
K2-35 b,1.32,2.3,979.0,2.399964,0.13,0.031,211.0,4402.71,0.619575,0.701968,0.04,K2-35 b,0,0.29462754,0,0,1028.0965,Terran
